code,language,error_type,predicted
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
"return;
System.out.println(""Hi"");",Java,UnreachableCode,UnreachableCode
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
request.get('url'),Python,MissingImport,MissingImport
from random import *,Python,WildcardImport,WildcardImport
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
print(x),Python,NameError,NameError
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
float pi = 3.14,C,MissingDelimiter,MissingDelimiter
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
"System.out.println(""Hello);",Java,UnclosedString,UnclosedString
from random import *,Python,WildcardImport,WildcardImport
"int x = 10;
printf(""Hi"");",C,UnusedVariable,UnusedVariable
result = x + y,Python,NameError,NameError
int main() { sqrt(16); return 0; },C,MissingInclude,MissingInclude
df = pd.DataFrame(),Python,MissingImport,MissingImport
"return;
printf(""Hi"");",C,UnreachableCode,UnreachableCode
int x = 5,Java,MissingDelimiter,DivisionByZero
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
print(x),Python,NameError,NameError
"int main() { strlen(""test""); return 0; }",C,MissingInclude,MissingInclude
"printf(""Hello);",C,UnclosedString,UnclosedString
System.out.println(x);,Java,UndeclaredIdentifier,UndeclaredIdentifier
"while (true) {
}",Java,InfiniteLoop,InfiniteLoop
"from os import pathh
pathh.exists('file')",Python,ImportError,ImportError
"int main() { scanf(""%d"", &x); return 0; }",C,MissingInclude,MissingInclude
"return;
printf(""Hi"");",C,UnreachableCode,UnreachableCode
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
int x = 10,C,MissingDelimiter,DivisionByZero
"int main() { printf(""Hello""); return 0; }",C,MissingInclude,MissingInclude
total = count * 2,Python,NameError,NameError
"int x = ""5"" + 3;",Java,TypeMismatch,DivisionByZero
return 0,C++,MissingDelimiter,MissingDelimiter
"if True:
x = 5",Python,IndentationError,IndentationError
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
int result = 10 / 0;,C,DivisionByZero,DivisionByZero
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
"def add_item(x, items=[]): items.append(x)",Python,MutableDefault,MutableDefault
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
total = count * 2,Python,NameError,NameError
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
"random.randint(1, 10)",Python,MissingImport,MissingImport
"from os import pathh
pathh.exists('file')",Python,ImportError,ImportError
print(x),Python,NameError,NameError
int x = 10 / 0;,Java,DivisionByZero,DivisionByZero
result = 100 / (x - x),Python,DivisionByZero,DivisionByZero
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
from random import *,Python,WildcardImport,WildcardImport
"int x = 10;
printf(""Hi"");",C,UnusedVariable,UnusedVariable
int x = 10 / 0;,C,DivisionByZero,DivisionByZero
"printf(""Hello);",C,UnclosedString,UnclosedString
int r = 25 / (b - b);,C,DivisionByZero,DivisionByZero
"if True:
x = 5",Python,IndentationError,IndentationError
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
os.path.exists('file'),Python,MissingImport,MissingImport
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
int r = 25 / (b - b);,C,DivisionByZero,DivisionByZero
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
from math import *,Python,WildcardImport,WildcardImport
int x = 10,Java,MissingDelimiter,DivisionByZero
"System.out.println(""test);",Java,UnclosedString,UnclosedString
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"def func():
print('Hi')",Python,IndentationError,IndentationError
data = json.loads('{}'),Python,MissingImport,MissingImport
"int x = ""hello"";",C++,TypeMismatch,TypeMismatch
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
print(x),Python,NameError,NameError
print(undefined_var),Python,NameError,NameError
int y = 20,C,MissingDelimiter,MissingDelimiter
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
int r = 50 / (a - a);,Java,DivisionByZero,DivisionByZero
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
print(x),Python,NameError,NameError
"printf(""Hello);",C,UnclosedString,UnclosedString
int var = 1; int var = 2;,C,DuplicateDefinition,DuplicateDefinition
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
"from os import pathh
pathh.exists('file')",Python,ImportError,ImportError
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
"int main() { scanf(""%d"", &x); return 0; }",C,MissingInclude,MissingInclude
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
struct Point { int x; int y;,C,UnmatchedBracket,UnmatchedBracket
char c = 'a'; int result = 5;,C,UnusedVariable,DivisionByZero
"np.array([1,2,3])",Python,MissingImport,MissingImport
from random import *,Python,WildcardImport,WildcardImport
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
ArrayList list = new ArrayList();,Java,MissingImport,MissingImport
int main() { sqrt(16); return 0; },C,MissingInclude,MissingInclude
from datetime import *,Python,WildcardImport,WildcardImport
float pi = 3.14,C,MissingDelimiter,MissingDelimiter
"int x = ""5"";",C,TypeMismatch,DivisionByZero
"return;
printf(""Hi"");",C,UnreachableCode,UnreachableCode
cout << x;,C++,UndeclaredIdentifier,UndeclaredIdentifier
int x = 10,C,MissingDelimiter,DivisionByZero
from os import *,Python,WildcardImport,WildcardImport
"return 0;
cout << ""Hi"";",C++,UnreachableCode,UnreachableCode
"int x = ""5"";",Java,TypeMismatch,DivisionByZero
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"cout << ""test;",C++,UnclosedString,UnclosedString
result = math.sqrt(16),Python,MissingImport,MissingImport
result = x + y,Python,NameError,NameError
from math import *,Python,WildcardImport,WildcardImport
"int x = 10;
cout << ""Hi"";",C++,UnusedVariable,UnusedVariable
"def add_item(x, items=[]): items.append(x)",Python,MutableDefault,MutableDefault
print('Hello),Python,UnclosedString,UnclosedString
from math import *,Python,WildcardImport,WildcardImport
print(x),Python,NameError,NameError
"printf(""Hello);",C,UnclosedString,UnclosedString
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
df = pd.DataFrame(),Python,MissingImport,MissingImport
ArrayList list = new ArrayList();,Java,MissingImport,MissingImport
data = json.loads('{}'),Python,MissingImport,MissingImport
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
ArrayList list = new ArrayList();,Java,MissingImport,MissingImport
"while (true) {
}",C++,InfiniteLoop,InfiniteLoop
"while (true) {
}",C++,InfiniteLoop,InfiniteLoop
"printf(""Hello"")",C,MissingDelimiter,UnclosedString
"cout << ""test;",C++,UnclosedString,UnclosedString
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
from math import *,Python,WildcardImport,WildcardImport
from datetime import datetimee,Python,ImportError,ImportError
int x = 10,C,MissingDelimiter,DivisionByZero
"String s = ""hello;",Java,UnclosedString,UnclosedString
total = count * 2,Python,NameError,NameError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
from math import *,Python,WildcardImport,WildcardImport
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"def test():
print('error')",Python,IndentationError,IndentationError
"int i = 0; while (i < 10) { printf(""%d"", i); }",C,InfiniteLoop,InfiniteLoop
5 = x,Python,InvalidAssignment,InvalidAssignment
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
result = x + y,Python,NameError,NameError
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
"return;
printf(""Hi"");",C,UnreachableCode,UnreachableCode
int main() { cin >> x; return 0; },C++,MissingInclude,MissingInclude
data = json.loads('{}'),Python,MissingImport,MissingImport
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
struct Point { int x; int y;,C,UnmatchedBracket,UnmatchedBracket
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
result = 10 / 0,Python,DivisionByZero,DivisionByZero
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
"int main() { scanf(""%d"", &x); return 0; }",C,MissingInclude,MissingInclude
"return;
printf(""Hi"");",C,UnreachableCode,UnreachableCode
"while (1) {
}",C,InfiniteLoop,InfiniteLoop
from datetime import *,Python,WildcardImport,WildcardImport
"return
print('Hi')",Python,UnreachableCode,UnreachableCode
"for i in range(5):
print(i)",Python,IndentationError,IndentationError
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"def add_item(x, items=[]): items.append(x)",Python,MutableDefault,MutableDefault
print(name),Python,NameError,NameError
"import pandass
pandass.DataFrame()",Python,ImportError,ImportError
"printf(""%d"", x);",C,UndeclaredIdentifier,UndeclaredIdentifier
"string s = ""hello;",C++,UnclosedString,UnclosedString
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"while (true) {
}",C++,InfiniteLoop,InfiniteLoop
int main() { cin >> x; return 0; },C++,MissingInclude,MissingInclude
System.out.println(x);,Java,UndeclaredIdentifier,UndeclaredIdentifier
"int main() { scanf(""%d"", &x); return 0; }",C,MissingInclude,MissingInclude
int r = 50 / (a - a);,Java,DivisionByZero,DivisionByZero
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
"System.out.println(""Hi"")",Java,MissingDelimiter,UnusedVariable
"import numpyy
numpyy.array([1,2])",Python,ImportError,ImportError
"def test():
print('error')",Python,IndentationError,IndentationError
"int arr[] = {1, 2, 3;",C,UnmatchedBracket,UnmatchedBracket
cout << x;,C++,UndeclaredIdentifier,UndeclaredIdentifier
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
5 = x,Python,InvalidAssignment,InvalidAssignment
"int add() { return 1; }
int add() { return 2; }",C,DuplicateDefinition,DuplicateDefinition
"while True:
break",Python,IndentationError,IndentationError
"printf(""Hello);",C,UnclosedString,UnclosedString
"from os import pathh
pathh.exists('file')",Python,ImportError,ImportError
"def test():
print('error')",Python,IndentationError,IndentationError
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
now = datetime.now(),Python,MissingImport,MissingImport
"cout << ""Hello"";",C++,MissingInclude,UnclosedString
void func() {} void func() {},C,DuplicateDefinition,DuplicateDefinition
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
"if True:
x = 5",Python,IndentationError,IndentationError
"import numpyy
numpyy.array([1,2])",Python,ImportError,ImportError
print(x),Python,NameError,NameError
"int x = 10; printf(""Hi"");",C,UnusedVariable,UnusedVariable
ArrayList list = new ArrayList();,Java,MissingImport,MissingImport
int result = 10 / 0;,C,DivisionByZero,DivisionByZero
data = json.loads('{}'),Python,MissingImport,MissingImport
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"plt.plot([1,2,3])",Python,MissingImport,MissingImport
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
int x = 10,Java,MissingDelimiter,DivisionByZero
print(x),Python,NameError,NameError
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"int x = ""5"";",Java,TypeMismatch,DivisionByZero
int x = 10,C++,MissingDelimiter,DivisionByZero
int main() { cin >> x; return 0; },C++,MissingInclude,MissingInclude
result = x + y,Python,NameError,NameError
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
from datetime import *,Python,WildcardImport,WildcardImport
result = 10 / 0,Python,DivisionByZero,DivisionByZero
"int main() {
  printf(""Hi"");
",C,UnmatchedBracket,UnmatchedBracket
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
int x = 10,C,MissingDelimiter,DivisionByZero
"def func():
print('Hi')",Python,IndentationError,IndentationError
"for i in range(5):
print(i)",Python,IndentationError,IndentationError
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
total = count * 2,Python,NameError,NameError
"printf(""%d"", x);",C,UndeclaredIdentifier,UndeclaredIdentifier
print(x),Python,NameError,NameError
"int main() { cout << ""Hi""; return 0; }",C++,MissingInclude,MissingInclude
from random import *,Python,WildcardImport,WildcardImport
"return 0;
cout << ""Hi"";",C++,UnreachableCode,UnreachableCode
"return;
System.out.println(""Hi"");",Java,UnreachableCode,UnreachableCode
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
os.path.exists('file'),Python,MissingImport,MissingImport
print('Hello),Python,UnclosedString,UnclosedString
result = 10 / 0,Python,DivisionByZero,DivisionByZero
int x = 10 / 0;,Java,DivisionByZero,DivisionByZero
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"while (true) {
}",C++,InfiniteLoop,InfiniteLoop
"x = 10
print('Hi')",Python,UnusedVariable,UnusedVariable
"if True:
x = 5",Python,IndentationError,IndentationError
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
"if (x > 5 { printf(""big""); }",C,UnmatchedBracket,UnmatchedBracket
int x = 10 / 0;,Java,DivisionByZero,DivisionByZero
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
int y = 20,C,MissingDelimiter,MissingDelimiter
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
from datetime import *,Python,WildcardImport,WildcardImport
"while True:
break",Python,IndentationError,IndentationError
result = 100 / (x - x),Python,DivisionByZero,DivisionByZero
int x = 10 / 0;,C,DivisionByZero,DivisionByZero
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
int z = 30,C++,MissingDelimiter,MissingDelimiter
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
print(name),Python,NameError,NameError
"int add() { return 1; }
int add() { return 2; }",Java,DuplicateDefinition,DuplicateDefinition
"""hello"" = str;",C++,InvalidAssignment,InvalidAssignment
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
int x = 10 / 0;,Java,DivisionByZero,DivisionByZero
from math import *,Python,WildcardImport,WildcardImport
print(x),Python,NameError,NameError
"int x = ""text"";",C,TypeMismatch,TypeMismatch
"cout << ""Hello;",C++,UnclosedString,UnclosedString
from os import *,Python,WildcardImport,WildcardImport
"int add() { return 1; }
int add() { return 2; }",C++,DuplicateDefinition,DuplicateDefinition
"def test():
print('error')",Python,IndentationError,IndentationError
"int add() { return 1; }
int add() { return 2; }",C++,DuplicateDefinition,DuplicateDefinition
from math import *,Python,WildcardImport,WildcardImport
int main() { vector<int> v; return 0; },C++,MissingInclude,MissingInclude
"System.out.println(""Hi"")",Java,MissingDelimiter,UnusedVariable
"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
",Java,UnmatchedBracket,UnmatchedBracket
int result = 10 / 0;,C,DivisionByZero,DivisionByZero
System.out.println(x);,Java,UndeclaredIdentifier,UndeclaredIdentifier
"printf(""Hello);",C,UnclosedString,UnclosedString
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
void func() {} void func() {},C,DuplicateDefinition,DuplicateDefinition
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
int x = 10 / 0;,C++,DivisionByZero,DivisionByZero
"return;
System.out.println(""Hi"");",Java,UnreachableCode,UnreachableCode
result = x + y,Python,NameError,NameError
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
5 = x;,C++,InvalidAssignment,InvalidAssignment
"printf(""Hello);",C,UnclosedString,UnclosedString
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
data = json.loads('{}'),Python,MissingImport,MissingImport
"if True:
x = 5",Python,IndentationError,IndentationError
"int add() { return 1; }
int add() { return 2; }",Java,DuplicateDefinition,DuplicateDefinition
"while (true) {
}",C++,InfiniteLoop,InfiniteLoop
"System.out.println(""Hi"")",Java,MissingDelimiter,UnusedVariable
"int add() { return 1; }
int add() { return 2; }",C++,DuplicateDefinition,DuplicateDefinition
int x = 10,Java,MissingDelimiter,DivisionByZero
ArrayList list = new ArrayList();,Java,MissingImport,MissingImport
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
5 = x,Python,InvalidAssignment,InvalidAssignment
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
"do { printf(""run""); } while (true);",C,InfiniteLoop,InfiniteLoop
"public class Test {
  public static void main(String[] args) {
    System.out.println(1);
",Java,UnmatchedBracket,UnmatchedBracket
void func() {} void func() {},C,DuplicateDefinition,DuplicateDefinition
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
"int add() { return 1; }
int add() { return 2; }",C++,DuplicateDefinition,DuplicateDefinition
"import pandass
pandass.DataFrame()",Python,ImportError,ImportError
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"System.out.println(""Hello);",Java,UnclosedString,UnclosedString
"import numpyy
numpyy.array([1,2])",Python,ImportError,ImportError
System.out.println(x);,Java,UndeclaredIdentifier,UndeclaredIdentifier
"int arr[] = {1, 2, 3;",C,UnmatchedBracket,UnmatchedBracket
10 + 5 = result;,C++,InvalidAssignment,DivisionByZero
"int main() { strlen(""test""); return 0; }",C,MissingInclude,MissingInclude
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"class Test:
def __init__(self):
pass",Python,IndentationError,IndentationError
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"if True:
x = 5",Python,IndentationError,IndentationError
int x = 10 / 0;,C,DivisionByZero,DivisionByZero
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
int y = 20,C,MissingDelimiter,MissingDelimiter
"int x = 10;
cout << ""Hi"";",C++,UnusedVariable,UnusedVariable
for (auto i : vec { },C++,UnmatchedBracket,UnmatchedBracket
"System.out.println(""test);",Java,UnclosedString,UnclosedString
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
int main() { sqrt(16); return 0; },C,MissingInclude,MissingInclude
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"int main() { strlen(""test""); return 0; }",C,MissingInclude,MissingInclude
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
from datetime import datetimee,Python,ImportError,ImportError
"int main() { printf(""Hello""); return 0; }",C,MissingInclude,MissingInclude
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
x = 100 / (5 - 5),Python,DivisionByZero,InvalidAssignment
"int x = ""5"";",C++,TypeMismatch,DivisionByZero
from random import *,Python,WildcardImport,WildcardImport
int x = 10,Java,MissingDelimiter,DivisionByZero
print(undefined_var),Python,NameError,NameError
int x = 10,C++,MissingDelimiter,DivisionByZero
from random import *,Python,WildcardImport,WildcardImport
int x = 10,Java,MissingDelimiter,DivisionByZero
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
int x = 10 / 0;,C++,DivisionByZero,DivisionByZero
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
print((1 + 2),Python,UnmatchedBracket,UnmatchedBracket
"int main() {
  cout << ""Hi"";
",C++,UnmatchedBracket,UnmatchedBracket
os.path.exists('file'),Python,MissingImport,MissingImport
int main() { sqrt(16); return 0; },C,MissingInclude,MissingInclude
int main() { vector<int> v; return 0; },C++,MissingInclude,MissingInclude
"int x = ""5"";",Java,TypeMismatch,DivisionByZero
"int main() { printf(""Hello""); return 0; }",C,MissingInclude,MissingInclude
print(x),Python,NameError,NameError
int x = 10,C++,MissingDelimiter,DivisionByZero
"while (true) {
}",Java,InfiniteLoop,InfiniteLoop
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"int main() { printf(""Hi""; return 0; }",C,UnmatchedBracket,MissingInclude
"int add() { return 1; }
int add() { return 2; }",C++,DuplicateDefinition,DuplicateDefinition
int x = 10,Java,MissingDelimiter,DivisionByZero
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
5 = x,Python,InvalidAssignment,InvalidAssignment
request.get('url'),Python,MissingImport,MissingImport
"int arr[] = {1, 2, 3;",C,UnmatchedBracket,UnmatchedBracket
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
now = datetime.now(),Python,MissingImport,MissingImport
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
result = x + y,Python,NameError,NameError
from math import *,Python,WildcardImport,WildcardImport
"int add() { return 1; }
int add() { return 2; }",Java,DuplicateDefinition,DuplicateDefinition
"cout << ""Hello;",C++,UnclosedString,UnclosedString
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
from math import *,Python,WildcardImport,WildcardImport
"def add_item(x, lst=[]): lst.append(x)",Python,MutableDefault,MutableDefault
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
int r = 75 / (c - c);,C++,DivisionByZero,DivisionByZero
"int x = ""text"";",C,TypeMismatch,TypeMismatch
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
5 = x;,Java,InvalidAssignment,InvalidAssignment
return 0,C++,MissingDelimiter,MissingDelimiter
int y = 20,C++,MissingDelimiter,MissingDelimiter
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
print('Hello),Python,UnclosedString,UnclosedString
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
"string msg = ""error;",C++,UnclosedString,UnclosedString
float pi = 3.14,C,MissingDelimiter,MissingDelimiter
"result = very_long_function_name(arg1, arg2, arg3, arg4, arg5, arg6, arg7, arg8, arg9, arg10, arg11, arg12)",Python,LineTooLong,LineTooLong
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
"System.out.println(""Hi"")",Java,MissingDelimiter,UnusedVariable
"while True:
    pass",Python,InfiniteLoop,InfiniteLoop
"int x = ""5"" + 3;",Java,TypeMismatch,DivisionByZero
int main() { sqrt(16); return 0; },C,MissingInclude,MissingInclude
"import pandass
pandass.DataFrame()",Python,ImportError,ImportError
from random import *,Python,WildcardImport,WildcardImport
from os import *,Python,WildcardImport,WildcardImport
"import randomm
randomm.randint(1,10)",Python,ImportError,ImportError
x = '5' + 3,Python,TypeMismatch,InvalidAssignment
int i = 0; while (i < 10) { System.out.println(i); },Java,InfiniteLoop,InfiniteLoop
"def add(a, b)
    return a + b",Python,MissingDelimiter,MissingDelimiter
"import numpyy
numpyy.array([1,2])",Python,ImportError,ImportError
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
"random.randint(1, 10)",Python,MissingImport,MissingImport
5 = x,Python,InvalidAssignment,InvalidAssignment
"while (1) {
}",C,InfiniteLoop,InfiniteLoop
while (1) { },C,InfiniteLoop,InfiniteLoop
int i = 0; while (i < 10) { System.out.println(i); },Java,InfiniteLoop,InfiniteLoop
"def f(): pass
def f(): pass",Python,DuplicateDefinition,DuplicateDefinition
int main() { sqrt(16); return 0; },C,MissingInclude,MissingInclude
"int x = 10; printf(""Hi"");",C,UnusedVariable,UnusedVariable
"cout << ""test;",C++,UnclosedString,UnclosedString
"def add_item(x, items=[]): items.append(x)",Python,MutableDefault,MutableDefault
return result,Java,MissingDelimiter,MissingDelimiter
"int main() { cout << ""Hi""; return 0; }",C++,MissingInclude,MissingInclude
"re.match(r'\d+', '123')",Python,MissingImport,MissingImport
print(undefined_var),Python,NameError,NameError
"int main() { strlen(""test""); return 0; }",C,MissingInclude,MissingInclude
int x = 10 / 0;,Java,DivisionByZero,DivisionByZero
"int x = 10;
System.out.println(""Hi"");",Java,UnusedVariable,UnusedVariable
for (auto i : vec { },C++,UnmatchedBracket,UnmatchedBracket
"return;
printf(""Hi"");",C,UnreachableCode,UnreachableCode
print(undefined_var),Python,NameError,NameError
print('This is an extremely long string that exceeds the recommended line length of 79 or 88 characters'),Python,LineTooLong,LineTooLong
print('Hello),Python,UnclosedString,UnclosedString
"def append_to(element, lst=[]): lst.append(element)",Python,MutableDefault,MutableDefault
int main() { cin >> x; return 0; },C++,MissingInclude,MissingInclude
"int x = ""5"";",Java,TypeMismatch,DivisionByZero
print(x),Python,NameError,NameError
"int add() { return 1; }
int add() { return 2; }",C,DuplicateDefinition,DuplicateDefinition
"def process(data, cache={}): cache[data] = True",Python,MutableDefault,MutableDefault
int x = 10 / 0;,C++,DivisionByZero,DivisionByZero
"int x = ""5"";",C,TypeMismatch,DivisionByZero
int var = 1; int var = 2;,C,DuplicateDefinition,DuplicateDefinition
cout << x;,C++,UndeclaredIdentifier,UndeclaredIdentifier
"def test():
print('error')",Python,IndentationError,IndentationError
"int calc(int a, int b { return a + b; }",C,UnmatchedBracket,MissingDelimiter
"printf(""Hello"");",C,MissingInclude,UnclosedString
"def add_item(x, items=[]): items.append(x)",Python,MutableDefault,MutableDefault
System.out.println(x);,Java,UndeclaredIdentifier,UndeclaredIdentifier
print('This is a very very very very very very very very very very long line'),Python,LineTooLong,LineTooLong
"if (x > 5 { cout << ""big""; }",C++,UnmatchedBracket,UnmatchedBracket
x = 10 / 0,Python,DivisionByZero,InvalidAssignment
"import maths
maths.sqrt(4)",Python,ImportError,ImportError
"while (1) {
}",C,InfiniteLoop,InfiniteLoop
result = math.sqrt(16),Python,MissingImport,MissingImport
for (int i = 0; i < 10; i++ { },C,UnmatchedBracket,InfiniteLoop
"int main() {
  cout << ""Hi"";
",C++,UnmatchedBracket,UnmatchedBracket
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
5 = x;,Java,InvalidAssignment,InvalidAssignment
"plt.plot([1,2,3])",Python,MissingImport,MissingImport
"def update(val, config={}): config['val'] = val",Python,MutableDefault,MutableDefault
"int main() { string s = ""hi""; return 0; }",C++,MissingInclude,MissingInclude
int y = 20,C,MissingDelimiter,MissingDelimiter
5 = x;,Java,InvalidAssignment,InvalidAssignment
"int x = ""text"";",C,TypeMismatch,TypeMismatch
print(undefined_var),Python,NameError,NameError
